№ п/п,Категория,Дополнительные теги,Вопрос Исходник,Формальный,Unnamed: 5,Unnamed: 6,Неформальный,Unnamed: 8,Unnamed: 9,С сокращениями,Unnamed: 11,Unnamed: 12,Краткий ответ,Наименование ссылки на развернутый ответ (при необходимости),Развернутый ответ (при необходимости)
,,,,,,,,,,,,,,,
1.0,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.0,Забота о работниках,детский сад,Размер оплаты за посещение дошкольного учреждения.,Сколько мне будет необходимо платить за корпоративный детский сад?,сколько платить за ребенка в корпоративном детском саду,,Оплата за детский сад,сколько платить за ребенка в детском саду,,Стоимость оплаты за корпоративный детский сад со стороны работника,,,Оплата за посещение ребёнком детского сада определяется в соответствии с Положением об установлении стоимости и оплате услуг в дошкольных группах частных образовательных учреждений ОАО «РЖД» и зависит от количества детей в семье и социального статуса работника.,,
2.0,Забота о работниках,"семья, отдых, ДОЛ, лагерь",Как подать заявку на путёвку в лагерь детям?,Как отправить ребенка в детский оздоровительный лагерь компании?,Где можно оформить заявку на путевку в лагерь или санаторий для ребенка?,Обязательно писать заявление на распределение путевок в лагерь для ребенка?,,,,Заявка на путевку в детский лагерь,Где подать заявку в ДОЛ?,можно подать заявку в ДОЛ на Сервисном портале?,"Путевки предоставляются работникам, имеющим детей школьного возраста от 7 до 16 лет.
Работнику необходимо подать заявку через Сервисный портал работника (раздел «Льготы и досуг», далее «Детский отдых») или написать заявление в Комиссию по распределению путевок в санаторно-курортные и оздоровительные учреждения своего предприятия. Порядок получения путевок в детские оздоровительные лагеря определен распоряжением ОАО «РЖД» от 19 мая 2022 г. № 1332/р.",,
3.0,Забота о работниках,"семья, отдых, ДОЛ, лагерь",Какие условия направления ребенка в детский лагерь компании,,,,,Как получить путевку в ДОЛ для ребенка?,Размер родительской платы за путевку,путевки ДОЛ компании,путевки детям,лагерь для детей,"Путевки предоставляются работникам, имеющим детей школьного возраста от 7 до 16 лет. 
Порядок получения путевок в детские оздоровительные лагеря определен распоряжением ОАО «РЖД» от 19 мая 2022 г. №1332/р. Работнику необходимо подать заявку через Сервисный портал работника или написать заявление в Комиссию по распределению путевок в санаторно-курортные и оздоровительные учреждения своего предприятия. или подать заявку через Сервисный портал работника.
Размер родительской платы за путевку составляет от 5% до 25% и зависит от социального статуса (многодетные, малообеспеченные), даты начала смены и месторасположения объекта",,
4.0,Забота о работниках,"льготы, семья",Какие льготы положены моей семье?,какими льготами может пользоваться моя семья,какие есть льготы для семьи,какие есть семейные льготы,,семейные льготы,положенные льготы для моей семьи,,,,"Получить подробную информацию о льготах и гарантиях для семьи можно:
- у специалистов по управлению персоналом структурного подразделения;
- в профсоюзной организации;
- в Путеводителе по льготам, размещенном на Сервисном портале в блоге «Социальная поддержка».",,
5.0,Забота о работниках,"льготы, семья",Какие льготы мне положены?,какими льготами я могу пользоваться,какие льготы у меня есть,какие льготы в компании есть для меня,льготы для меня,мои льготы,положенные для  меня льготы,какие мои льготы,,,"Для информировании работников о льготах и гарантиях, предоставляемых в компании, разработан Путеводитель по льготам, который разъясняет предоставление льгот в простом и доступном формате с пошаговым алгоритмом. 
Путеводитель структурирован в пакетные предложения под жизненные ситуации работника и включает в себя 11 тематических блоков:
1. Бесплатный проезд.
2. Отпуск. 
3. Здоровье.
4. Досуг.
5. Семья (семейное благополучие).
6. Компенсируемый социальный пакет. Бонусный пакет.
7. Молодежь.
8. Комфортные условия.
9. Перед выходом на пенсию.
10. Корпоративное волонтерство.
11. Здоровый образ жизни.
Ознакомиться с Путеводителем можно на Сервисном портале в блоге «Социальная поддержка».",,
6.0,Забота о работниках,бонусный пакет,Как будет реализована новая бонусная система в Коллективном договоре ОАО «РЖД»?,реализация новой бонусной системы в Коллективном договоре ОАО «РЖД»,новая бонусная система в РЖД,что дает бонусная система РЖД,что нового в бонусной системе РЖД,бонусная система РЖД,бонусный пакет РЖД,хочу узнать про новую бонусную систему РЖД,,,"В компании существует программа Бонусный пакет. Работники всех структурных подразделений и филиалов компании могут получать бонусные баллы за активность в непроизводственной деятельности и затем обменивать их на различные бенефиты из перечня корпоративных предложений ОАО «РЖД»: путёвки на отдых, абонементы на занятия спортом, билеты в музеи, курсы обучения. и многое другое. Обменять баллы на бенефиты можно в течение трёх лет с момента их начисления. Более подробную информацию о новой бонусной системе можно найти на Сервисном портале работника РЖД в разделе «Бонусный пакет».",,
7.0,Забота о работниках,КСП,О компенсируемом социальном пакете,что такое компенсируемый социальный пакет,узнать о компенсируемом социальном пакете,компенсируемый социальный пакет,хочу узнать про компенсируемый социальный пакет,о чем компенсируемый социальный пакет,,"номер распоряжения, где прописано, кому положен КСП и какие должности?",ксп,что такое ксп,"Компенсируемый социальный пакет или КСП – это элемент социального пакета, предоставляемый с целью повышения привлекательности рабочих мест и мотивации работников к труду. КСП предоставляет работнику возможность компенсировать в пределах определенного лимита денежных средств свои затраты на услуги и товары, включенные в перечень элементов КСП, утвержденный распоряжением ОАО «РЖД» от 4 марта 2011 г. № 465/р.",,
8.0,Забота компании о работнике,Компенсируемый социальный пакет,Молодые специалисты всех должностей имеют право на КСП? Или определенные должности?,Кто имеет право на КСП? ,Какие категории работников имеют право на компенсируемый социальный пакет?,Какая категория работников входит в значимую группу персонала?,"Список должностей, кому положен КСП",У кого спросить про КСП для молодежи,,КСП положено всем или определенным должностям,,,"На КСП имеет право, работник, чья профессия/должность вошла в перечень значимых категорий. 
Каждый филиал определяет категорию должностей ежегодно самостоятельно в зависимости от разных условий и обстоятельств (текучесть кадров, востребованность профессий и др.). В целях уточнения списка должностей работник может обратиться к специалисту по управлению персоналом в своем подразделении. Утверждение происходит в 4 квартале на год.",Подробнее о критериях значимых категорий персонала,"Состав значимых категорий персонала и их коэффициенты определяются филиалами ежегодно на основе определенных критериев согласно «Положению о компенсируемом социальном пакете (КСП), предоставляемом работникам ОАО «РЖД», утвержденному распоряжением ОАО «РЖД» от 4 марта 2011 г. № 465р. 
Критерии для определения значимых категорий персонала:
- дефицитность профессии. Дефицитность определяется с учетом таких кадровых показателей как текучести, тенденция текучести укомплектованность, коэффициент постоянства кадров, сменяемость кадров и другие ситуации на рынке труда региона, а также на основании целей и задач филиала. Обоснование предоставления КСП дефицитным профессиям состоит в их привлечении и удержании в Компании;
- участие работников во внедрении изменений в Компании (наставники, члены рабочих групп по новым проектам, которые выполняют дополнительные функции, связанные с внедрением изменений; участвуют в реализации инновационных проектов (в том числе молодежных). Обоснование предоставления КСП этим группам персонала состоит в моральной мотивации и поддержке внедрения инноваций;
- высокая квалификация работников, обеспечивающих основной производственный процесс для жизнедеятельности компании (высокая квалификация работников, входящих в список основных профессий; обладающие особыми компетенциями; работники, включенные в кадровый резерв и др.) Цель предоставления КСП - подчеркнуть важность работников высокой квалификации, используя механизм моральной мотивации;
- производственные показатели, эффективность труда (это подразделения, победившие в соревнованиях; работники, победившие в соревнованиях; работники, получившие благодарности, награды);
- трудная жизненная ситуация работников – доход на одного члена семьи ниже прожиточного минимума на душу населения в соответствующем регионе. Определяется на основе совокупного дохода семьи на одного человека с учетов всех прав на льготы и гарантии в рамках федеральных программ. Величина прожиточного минимума на душу населения в регионах в Дальневосточном федеральном округе определяется в соответствии с методическими указаниями по формированию аналитического отчета «Численность работников с денежным доходом на одного члена семьи ниже прожиточного минимума», утвержденными от 30.09.2021 № 1400/ЦКИ. Критерий для предоставления КСП данной категории работников применяется на Дальневосточной железной дороге;
- прочие критерии, указанные в локальных нормативных актах Компании по вопросам кадровой и социальной политики."
